City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed (MPH),Date
none,none,none,none,none,none,none,none
Makurdi,7.73,8.54,83.03,72,56,4.83,1541184558
Awjilah,29.14,21.3,66.29,54,12,8.19,1541184559
Hobyo,5.35,48.53,77.68,87,0,9.75,1541184559
none,none,none,none,none,none,none,none
Sioux Lookout,50.1,-91.92,32,82,90,2.24,1541181600
Lingao,19.91,109.69,66.97,100,0,3.83,1541184560
Harper,30.3,-99.24,68.9,34,1,10.29,1541182500
Paka,45.29,18.06,60.8,82,20,5.82,1541183400
Kushiro,43.11,144.15,26.24,73,0,2.93,1541184561
Acapulco,16.86,-99.88,86,74,20,5.82,1541180700
Talnakh,69.49,88.39,-0.85,66,24,6.73,1541184561
Lagoa,37.14,-8.45,64.4,82,20,8.05,1541183400
Youghal,51.95,-7.85,50,100,75,14.99,1541183400
Seguela,7.96,-6.67,85.78,61,24,2.93,1541184562
Constantine,36.36,6.61,53.6,71,75,6.93,1541183400
Port Macquarie,-31.43,152.91,69.8,68,88,1.12,1541181600
none,none,none,none,none,none,none,none
Thinadhoo,0.53,72.93,82.36,100,92,10.2,1541184563
none,none,none,none,none,none,none,none
Uusikaupunki,60.8,21.41,46.4,93,88,12.75,1541182800
Lata,30.78,78.62,41.9,100,92,1.36,1541184564
Riyadh,24.63,46.72,71.6,53,0,6.93,1541181600
none,none,none,none,none,none,none,none
Porbandar,21.64,69.61,79.79,71,0,7.85,1541184565
Tiksi,71.64,128.87,-6.3,57,64,4.94,1541184565
Bontang,0.12,117.47,80.42,100,44,3.15,1541184566
Wuan,31.68,112,51.13,70,0,7.96,1541184566
Iquitos,-3.75,-73.25,86,66,75,5.82,1541181600
Najran,17.54,44.22,69.8,43,0,9.17,1541181600
none,none,none,none,none,none,none,none
Saint-Pierre,48.95,4.24,46.4,80,0,6.93,1541183400
Nsanje,-16.92,35.26,86.41,47,8,16.46,1541184633
Honavar,14.28,74.45,80.38,88,80,1.7,1541184633
Taksimo,56.36,114.84,6.35,36,36,5.17,1541184633
Magadan,59.56,150.8,26.6,100,90,8.95,1541181600
Sao Gabriel da Cachoeira,-0.13,-67.09,83.3,80,92,2.93,1541184634
Gusinoye Ozero,51.11,106.26,3.65,76,12,3.15,1541184634
none,none,none,none,none,none,none,none
Balangiga,11.11,125.39,76.28,100,88,4.72,1541184635
Henties Bay,-22.12,14.28,63.95,86,0,3.38,1541184635
Sabang,13.72,123.58,80.6,92,76,7.85,1541184635
Pangnirtung,66.15,-65.72,15.8,52,20,3.36,1541181600
Kiruna,67.86,20.23,33.8,100,92,8.05,1541182800
Dakar,14.69,-17.45,80.6,74,0,6.93,1541181600
Karratha,-20.74,116.85,72.5,56,0,7.96,1541184637
Ulagan,50.63,87.96,-15.25,72,20,2.48,1541184637
Horta,41.43,2.16,57.2,81,0,3.36,1541183400
San Francisco,37.78,-122.42,71.06,52,1,1.7,1541183700
Bahia Honda,22.9,-83.16,82.18,82,56,6.06,1541184638
Anadyr,64.73,177.51,24.8,92,90,6.71,1541181600
Torrington,42.06,-104.18,46.94,41,90,11.41,1541181180
Pochutla,15.74,-96.47,87.8,70,75,5.82,1541180820
Yinchuan,38.48,106.21,39.83,65,92,3.04,1541184620
Valdosta,30.83,-83.28,68,94,20,6.93,1541183700
none,none,none,none,none,none,none,none
San Martin,37.08,-121.61,71.6,40,1,3.38,1541183700
Ixtapa,20.71,-105.21,82.4,74,90,1.92,1541180940
Northam,51.04,-4.21,44.6,75,0,5.82,1541182800
Tiznit,29.7,-9.73,67.19,78,0,2.59,1541184641
Waingapu,-9.65,120.26,74.17,94,12,4.27,1541184641
Mkushi,-13.61,29.4,79.57,27,20,8.75,1541184641
Mapiri,-15.31,-68.22,63.28,89,68,3.27,1541184642
none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none
Teya,21.05,-89.07,84.2,66,90,3.49,1541180640
Sikeston,36.88,-89.59,55.4,62,40,13.87,1541182500
General Pico,-35.66,-63.75,79.93,63,0,10.09,1541184643
Vikulovo,55.07,40.96,36.46,86,80,10.76,1541184643
Tautira,-17.73,-149.15,84.2,62,20,3.36,1541183400
Kologriv,58.83,44.31,37.67,100,92,4.72,1541184644
Cayenne,4.94,-52.33,89.6,55,0,13.87,1541181600
Vostok,46.45,135.83,17.02,67,0,3.15,1541184645
Catia La Mar,10.6,-67.03,86,55,20,4.7,1541181600
Sovetskiy,56.76,48.47,35.47,98,92,7.63,1541184645
El Jicaro,14.91,-89.89,76.33,71,24,1.92,1541184646
Pilar,-34.46,-58.91,66.2,68,0,8.05,1541181600
Yaring,6.87,101.37,76.28,93,24,3.49,1541184646
Waipawa,-39.94,176.59,48.2,83,80,9.31,1541184712
Tilichiki,60.47,166.1,7.66,81,92,3.49,1541184712
Emerald,-23.53,148.16,62.02,92,12,4.72,1541184712
none,none,none,none,none,none,none,none
Quarai,-30.39,-56.45,83.39,66,0,11.1,1541184713
Lethem,3.38,-59.8,97.43,37,20,13.22,1541184713
Gunjur,13.18,-16.76,91.4,59,0,4.7,1541181600
Tommot,58.97,126.27,15.13,56,68,9.31,1541184714
Flinders,-34.58,150.85,75.2,50,0,18.34,1541183400
Muncar,-8.43,114.34,79.75,94,76,5.95,1541184714
Chhatarpur,24.92,79.59,71.15,61,0,3.27,1541184714
Nishihara,35.74,139.53,57.2,79,1,3.71,1541181600
Disraeli,45.9,-71.36,46.4,93,90,2.24,1541181600
Araguaina,-7.19,-48.21,89.38,66,32,3.27,1541184715
Haimen,31.87,121.18,56.75,100,92,8.19,1541184716
Cambridge,52.2,0.12,42.8,86,0,5.82,1541182800
Manitouwadge,49.12,-85.84,35.6,51,90,5.82,1541181600
Moron,10.49,-68.2,77.86,79,76,2.93,1541184717
Benjamin Constant,-4.38,-70.03,84.2,83,75,4.7,1541181600
Toamasina,-18.17,49.38,75.2,88,75,3.36,1541181600
Luganville,-15.51,167.18,78.17,100,88,21.83,1541184718
Saquena,-4.67,-73.52,84.88,78,64,3.71,1541184718
Klyuchi,52.25,79.17,29.03,76,92,18.81,1541184718
none,none,none,none,none,none,none,none
Taoudenni,22.68,-3.98,73.45,27,0,5.5,1541184719
Sao Jose da Coroa Grande,-8.9,-35.15,83.84,70,0,12.21,1541184719
Katsuura,33.93,134.5,49.37,100,0,4.61,1541184720
none,none,none,none,none,none,none,none
Zhob,31.34,69.45,42.35,38,0,6.17,1541184720
none,none,none,none,none,none,none,none
Brindisi,40.63,17.94,68,88,20,6.93,1541182800
Barra do Garcas,-15.89,-52.26,91.4,49,40,3.36,1541181600
Bambanglipuro,-7.95,110.28,72.91,90,24,2.48,1541184721
New Plymouth,-39.06,174.08,54.68,100,92,14.79,1541184721
Pontes e Lacerda,-15.23,-59.33,90.46,72,8,5.39,1541184722
Nelson Bay,-32.72,152.14,73.4,64,8,18.34,1541183400
Altay,47.83,88.13,-10.93,45,0,0.69,1541184722
Medina del Campo,41.31,-4.92,51.8,87,20,6.93,1541183400
